,date,wind speed,relative humidity
36,2022-05-04 03:00:00,0.0,86.202442841334
75,2022-05-04 04:00:00,18.36,89.741574390528
86,2022-05-04 05:00:00,5.4,89.091584214285
105,2022-05-04 06:00:00,5.4,86.202442841334
65,2022-05-04 07:00:00,18.36,74.290523029752
97,2022-05-04 09:00:00,9.36,72.237265552403
57,2022-05-04 10:00:00,18.36,62.603057577541
24,2022-05-04 11:00:00,9.36,45.123994330123
137,2022-05-04 12:00:00,12.96,39.569367918353
1,2022-05-04 13:00:00,22.32,47.778331433767
124,2022-05-04 14:00:00,18.36,65.7585802214905
32,2022-05-04 15:00:00,24.12,58.412636530643
5,2022-05-04 16:00:00,24.12,60.277058019152
123,2022-05-04 17:00:00,22.32,58.412636530643
81,2022-05-04 18:00:00,25.92,71.830365829443
119,2022-05-04 19:00:00,20.52,80.266011265195
30,2022-05-04 20:00:00,29.52,86.313549377715
127,2022-05-04 21:00:00,24.12,89.22963410269
38,2022-05-04 22:00:00,18.36,89.22963410269
72,2022-05-04 22:00:00,18.36,89.22963410269
96,2022-05-04 23:00:00,12.96,92.875368778185
37,2022-05-05 00:00:00,0.0,86.313549377715
92,2022-05-05 01:00:00,7.56,89.22963410269
12,2022-05-05 02:00:00,11.16,82.880385175758
95,2022-05-05 03:00:00,12.96,82.880385175758
8,2022-05-05 04:00:00,18.36,86.313549377715
136,2022-05-05 05:00:00,16.56,79.654510078888
10,2022-05-05 06:00:00,14.76,79.654510078888
6,2022-05-05 07:00:00,9.36,80.266011265195
69,2022-05-05 08:00:00,9.36,74.688740763976
41,2022-05-05 09:00:00,9.36,71.830365829443
67,2022-05-05 10:00:00,18.36,64.375172704717
55,2022-05-05 11:00:00,18.36,57.627506394469
40,2022-05-05 12:00:00,18.36,61.814618307198
15,2022-05-05 13:00:00,18.36,50.055164265978
14,2022-05-05 14:00:00,20.52,48.02964410285
31,2022-05-05 15:00:00,25.92,46.397398303251
19,2022-05-05 16:00:00,18.36,57.627506394469
117,2022-05-05 17:00:00,22.32,64.486025639597
76,2022-05-05 18:00:00,20.52,66.579992947826
18,2022-05-05 19:00:00,18.36,74.8764630203
112,2022-05-05 20:00:00,18.36,80.500571981251
73,2022-05-05 21:00:00,12.96,80.500571981251
134,2022-05-05 21:00:00,16.56,80.500571981251
54,2022-05-05 23:00:00,7.56,86.590548811883
133,2022-05-05 23:00:00,18.36,65.7585802214905
122,2022-05-06 00:00:00,11.16,86.639151568653
43,2022-05-06 01:00:00,11.16,90.117153427448
131,2022-05-06 02:00:00,7.56,89.490389141325
101,2022-05-06 03:00:00,9.36,93.082849756907
94,2022-05-06 04:00:00,18.36,89.490389141325
91,2022-05-06 05:00:00,7.56,89.490389141325
42,2022-05-06 06:00:00,0.0,86.639151568653
64,2022-05-06 07:00:00,18.36,83.351127453408
82,2022-05-06 08:00:00,9.36,80.202281999569
120,2022-05-06 09:00:00,9.36,72.346821714672
46,2022-05-06 10:00:00,18.36,69.746258773174
125,2022-05-06 11:00:00,9.36,67.588946723231
13,2022-05-06 12:00:00,20.52,65.335081827887
85,2022-05-06 13:00:00,25.92,67.813430858596
70,2022-05-06 14:00:00,16.56,69.959500486126
79,2022-05-06 15:00:00,25.92,69.959500486126
